ACADEMIC_YEAR,ASSESSMENT_YEAR,SCH_ID,FFT_ID,UPN,SURNAME,FORENAMES,DOB,GENDER,PRIOR_ATTAIN_KEY_STAGE,PRIOR_ATTAIN_RANK,PRIOR_ATTAIN_GROUP,KS2_ENGLISH_TEST,KS2_WELSH_TEST,KS2_MATHS_TEST,KS2_SCIENCE_TEST,KS2_ENGLISH_TA,KS2_WELSH_TA,KS2_MATHS_TA,KS2_SCIENCE_TA,EST_BASIS,EST_RANK,KS3_SBJ_CODE,KS3_SUBJECT,KS3_LEV2_PROB,KS3_LEV3_PROB,KS3_LEV4_PROB,KS3_LEV5_PROB,KS3_LEV6_PROB,KS3_LEV7_PROB,KS3_LEV2PLUS_PROB,KS3_LEV3PLUS_PROB,KS3_LEV4PLUS_PROB,KS3_LEV5PLUS_PROB,KS3_LEV6PLUS_PROB,KS3_LEV7PLUS_PROB,KS3_EST_LEVEL,EXPECTED_PROGRESS_LEVEL,EXPECTED_PROGRESS_PROB,PRIOR_ATTAIN_DATA_STATUS,EXPORT_DATE
2013,2014,9994002,99901475,UPN          ,Almond,Carol,15/05/2000,F,2,,L,4C,,3A,3,3,,3,3,PA,50,EN,English,1,2,25,64,10,1,99,99,98,73,10,1,5C,6,10,Final,08/05/2014
2013,2014,9994002,99967904,UPN          ,Almond,Colin,29/10/1999,M,2,,L,4C,,3A,4,4,,3,4,PA,50,EN,English,1,2,28,60,9,1,99,99,97,69,9,1,5C,6,9,Final,08/05/2014
2013,2014,9994002,99941081,UPN          ,Aluminium,Lewis,04/06/2000,M,2,,U,5C,,5C,5,5,,5,5,PA,50,EN,English,1,1,1,8,54,38,99,99,99,99,92,38,6A,7,38,Final,08/05/2014
2013,2014,9994002,99900455,UPN          ,Apple,Quentin,10/04/2000,M,2,,M,4A,,5B,4,4,,5,4,PA,50,EN,English,1,1,2,36,54,7,99,99,99,98,61,7,6C,6,61,Final,08/05/2014
2013,2014,9994002,99906212,UPN          ,Apple,Ricky,05/04/2000,M,2,,L,3A,,3C,3,3,,3,3,PA,50,EN,English,1,6,42,49,4,1,99,99,94,52,4,1,5C,5,52,Final,08/05/2014
2013,2014,9994002,99906562,UPN          ,Apricot,Kirsty,09/03/2000,F,2,,U,4A,,5B,4,5,,5,4,PA,50,EN,English,1,1,1,18,65,17,99,99,99,99,81,17,6B,6,81,Final,08/05/2014
2013,2014,9994002,99900446,UPN          ,Argon,Neil,05/09/1999,M,2,,M,4A,,4B,4,4,,4,4,PA,50,EN,English,1,1,8,55,35,2,99,99,99,92,37,2,5A,6,37,Final,08/05/2014
2013,2014,9994002,99922534,UPN          ,Argon,Wayne,08/06/2000,M,2,,M,4B,,5B,4,4,,5,4,PA,50,EN,English,1,1,6,52,39,3,99,99,99,94,41,3,5A,6,41,Final,08/05/2014
2013,2014,9994002,99962468,UPN          ,Arsenic,Angela,23/10/1999,F,2,,M,4B,,4B,4,4,,4,4,PA,50,EN,English,1,1,3,45,48,3,99,99,99,96,51,3,5A,6,51,Final,08/05/2014
2013,2014,9994002,99903868,UPN          ,Arsenic,Nigel,26/09/1999,M,2,,U,5C,,5C,5,5,,5,5,PA,50,EN,English,1,1,1,17,61,22,99,99,99,99,83,22,6B,7,22,Final,08/05/2014
2013,2014,9994002,99904864,UPN          ,Arsenic,Oliver,31/05/2000,M,2,,L,4C,,4C,4,4,,4,4,PA,50,EN,English,1,1,15,63,21,1,99,99,99,84,21,1,5B,6,21,Final,08/05/2014
2013,2014,9994002,99901455,UPN          ,Arsenic,Siobhan,30/12/1999,F,2,,U,4A,,5C,5,5,,5,5,PA,50,EN,English,1,1,1,16,65,19,99,99,99,99,83,19,6B,6,83,Final,08/05/2014
2013,2014,9994002,99948100,UPN          ,Asparagus,Colette,05/05/2000,F,2,,L,4B,,4C,3,4,,3,3,PA,50,EN,English,1,1,11,63,25,1,99,99,99,88,25,1,5B,6,25,Final,08/05/2014
2013,2014,9994002,99977574,UPN          ,Asparagus,Holly,17/07/2000,F,2,,M,4A,,5B,4,4,,5,4,PA,50,EN,English,1,1,1,23,64,13,99,99,99,99,76,13,6C,6,76,Final,08/05/2014
2013,2014,9994002,99984732,UPN          ,Asparagus,Siobhan,12/11/1999,F,2,,L,4C,,3A,4,4,,4,4,PA,50,EN,English,1,1,11,62,26,1,99,99,99,89,27,1,5B,6,27,Final,08/05/2014
2013,2014,9994002,99902461,UPN          ,Banana,Carla,18/11/1999,F,2,,M,4B,,4A,4,4,,4,4,PA,50,EN,English,1,1,4,48,44,3,99,99,99,96,47,3,5A,6,47,Final,08/05/2014
2013,2014,9994002,99960822,UPN          ,Banana,Lee,06/06/2000,M,2,,M,4C,,4A,4,4,,4,4,PA,50,EN,English,1,1,15,63,21,1,99,99,99,84,21,1,5B,6,21,Final,08/05/2014
