ACADEMIC_YEAR,ASSESSMENT_YEAR,SCH_ID,FFT_ID,UPN,SURNAME,FORENAMES,DOB,GENDER,PRIOR_ATTAIN_KEY_STAGE,PRIOR_ATTAIN_RANK,PRIOR_ATTAIN_GROUP,ENGLISH_TEST,WELSH_TEST,MATHS_TEST,SCIENCE_TEST,ENGLISH_TA,WELSH_TA,MATHS_TA,SCIENCE_TA,EST_BASIS,EST_RANK,QUAL_CODE,QUAL_DESC_SHORT,QUAL_DESC,SBJ_MAPPING,SBJ_QAN ,SUBJECT,QUALIFICATION_TITLE ,KS4_G_PROB,KS4_F_PROB,KS4_E_PROB,KS4_D_PROB,KS4_C_PROB,KS4_B_PROB,KS4_A_PROB,KS4_ASTAR_PROB,KS4_GPLUS_PROB,KS4_FPLUS_PROB,KS4_EPLUS_PROB,KS4_DPLUS_PROB,KS4_CPLUS_PROB,KS4_BPLUS_PROB,KS4_APLUS_PROB,KS4_PASS_PROB,KS4_GM,KS4_HGM_PROB,KS4_GA,EXPECTED_PROGRESS_LEVEL,BETTER_EXPECTED_PROGRESS_LEVEL,EXPECTED_PROGRESS_PROB,BETTER_EXPECTED_PROGRESS_PROB,PRIOR_ATTAIN_DATA_STATUS,EXPORT_DATE
2014,2014,9994002,99900486,UPN          ,Plutonium,Jade,15/09/1997,F,2,,U,5B,,5B,5C,5,,5,5,PA50 (Type A),50,310,GCSE,GCSE Full Course,5,Not Used,Art&Des,Art & Design,1,1,1,3,16,30,27,21,99,99,99,99,95,79,49,99,B,49,A,B,A,79,49,Final,08/05/2014
2014,2014,9994002,99900486,UPN          ,Plutonium,Jade,15/09/1997,F,3,,U,7,,7,7,7,,7,7,PA50 (Type A),50,310,GCSE,GCSE Full Course,5,Not Used,Art&Des,Art & Design,1,1,1,1,11,27,31,29,99,99,99,99,98,87,60,99,A,29,S,S,S,29,29,Final,08/05/2014
2014,2014,9994002,99900487,UPN          ,Bay Leaf,Nigel,11/03/1998,M,2,,L,3B,,3C,3B,3,,3,3,PA50 (Type A),50,310,GCSE,GCSE Full Course,5,Not Used,Art&Des,Art & Design,5,12,18,24,31,8,1,1,99,95,82,64,40,9,1,98,D,40,C,D,C,64,40,Final,08/05/2014
2014,2014,9994002,99900487,UPN          ,Bay Leaf,Nigel,11/03/1998,M,3,,L,4,,3,4,4,,3,4,PA50 (Type A),50,310,GCSE,GCSE Full Course,5,Not Used,Art&Des,Art & Design,6,14,20,25,29,5,1,1,99,94,80,60,35,6,1,98,D,35,C,C,C,35,6,Final,08/05/2014
2014,2014,9994002,99900634,UPN          ,Thyme,Kyle,21/11/1996,M,2,,L,3C,,4B,3C,3,,4,3,PA50 (Type A),50,310,GCSE,GCSE Full Course,5,Not Used,Art&Des,Art & Design,5,11,17,23,33,10,1,1,99,95,84,67,45,12,2,98,D,45,C,D,C,67,45,Final,08/05/2014
2014,2014,9994002,99901814,UPN          ,Gold,Robert,06/03/1998,M,2,,U,5B,,5A,5C,5,,5,5,PA50 (Type A),50,310,GCSE,GCSE Full Course,5,Not Used,Art&Des,Art & Design,1,1,3,7,24,28,22,14,99,99,98,96,88,64,37,99,B,37,A,B,A,64,37,Final,08/05/2014
2014,2014,9994002,99901814,UPN          ,Gold,Robert,06/03/1998,M,3,,U,7,,7,7,7,,7,7,PA50 (Type A),50,310,GCSE,GCSE Full Course,5,Not Used,Art&Des,Art & Design,1,1,2,6,23,29,23,16,99,99,99,97,91,68,39,99,B,39,A,S,S,16,16,Final,08/05/2014
2014,2014,9994002,99903424,UPN          ,Peach,Edward,18/07/1998,M,2,,L,B,,B,B,W,,1,2,PA50 (Type A),50,310,GCSE,GCSE Full Course,5,Not Used,Art&Des,Art & Design,7,15,21,24,27,5,1,1,99,93,78,57,32,6,1,97,D,32,C,F,E,93,78,Final,08/05/2014
2014,2014,9994002,99903424,UPN          ,Peach,Edward,18/07/1998,M,3,,L,2,,2,2,2,,2,2,PA50 (Type A),50,310,GCSE,GCSE Full Course,5,Not Used,Art&Des,Art & Design,10,20,24,23,20,1,1,1,99,90,70,46,22,2,1,95,E,46,D,E,E,70,46,Final,08/05/2014
2014,2014,9994002,99903479,UPN          ,Quince,Zachary,17/04/1998,M,2,,U,5C,,5A,5B,5,,5,5,PA50 (Type A),50,310,GCSE,GCSE Full Course,5,Not Used,Art&Des,Art & Design,1,1,3,8,25,28,22,13,99,99,98,95,88,63,35,99,B,35,A,B,A,63,35,Final,08/05/2014
